,zipcode,latitude,longitude,cluster
156,02149,39.9274,-82.0041,15
157,83843,33.4188,-86.7867,14
158,98550,42.3474,-83.0604,10
159,77091,37.2874,-107.8617,2
160,95066,35.2449,-81.2194,4
161,77036,37.5158,-77.5047,8
162,07458,47.5846,-122.3005,1
163,98070,32.8267,-96.9633,5
164,10459,40.7436,-73.9216,17
165,75040,42.426,-83.15,10
166,95035,47.3776,-122.2854,1
167,48038,40.7236,-74.2015,17
168,55057,32.4197,-87.0245,14
169,75210,35.1316,-80.8577,4
170,75189,40.1159,-74.8536,18
171,98058,40.7946,-74.1631,17
172,80216,32.9805,-86.7181,14
173,26003,42.2787,-71.1589,9
174,07644,37.27,-77.4038,8
175,98027,32.8999,-96.7897,5
176,95076,32.9164,-85.9368,14
177,07033,47.4889,-122.3012,1
178,19134,35.1936,-80.6846,4
179,43333,48.104,-122.7945,1
180,24433,40.1166,-75.0198,18
181,75248,39.5372,-82.4126,15
182,35226,40.3192,-74.4285,17
183,19120,47.717,-122.3015,1
184,15236,40.4284,-74.4064,17
185,28027,40.7706,-73.9265,17
186,77072,32.886,-96.4095,5
187,36607,47.5344,-122.3547,1
188,75035,35.2522,-80.8265,4
189,80906,35.2886,-80.8209,4
190,01907,35.0108,-80.9266,4
191,02115,39.9771,-74.1565,-1
192,93291,39.6206,-105.0901,2
193,33714,39.923,-82.8664,15
194,75251,40.0226,-83.0776,15
195,77040,40.7261,-74.2313,17
196,46142,39.9046,-82.9703,15
197,07106,35.4141,-80.6162,4
198,10456,29.8617,-95.3403,6
199,98116,47.2884,-122.098,1
200,43211,40.7896,-74.3202,17
201,75089,33.4816,-86.859,14
202,76544,33.5887,-86.765,14
203,77901,40.0201,-83.0118,15
204,48237,42.3126,-71.1115,9
205,77093,33.4735,-86.9183,14
206,29706,39.9569,-82.9644,15
207,55906,47.3929,-122.3129,1
208,33034,42.4698,-70.942,9
209,15062,43.6537,-93.3707,7
210,43065,37.6281,-77.3395,8
211,28163,47.388,-122.1932,1
212,35575,40.7859,-74.2568,17
213,43302,35.4851,-81.1818,4
214,39092,40.0326,-82.9103,15
215,19118,29.8323,-95.736,6
216,77506,33.6803,-85.7137,14
217,95338,37.3923,-77.5668,8
218,39057,33.5815,-85.8328,14
219,95101,42.4581,-71.0632,9
220,23805,37.0313,-122.1198,0
221,19141,32.546,-96.2852,5
222,23075,37.4638,-77.398,8
223,19401,40.7152,-73.9877,17
224,77038,47.4995,-122.3603,1
225,02459,40.3605,-83.7571,15
226,45662,25.8143,-80.2051,3
227,81073,33.9259,-86.4741,14
228,35204,32.8756,-96.7495,5
229,02169,40.6907,-73.9274,17
230,46241,40.7664,-74.1695,17
231,35216,25.6062,-80.3426,3
232,15207,34.9947,-81.2245,4
233,43102,33.5409,-86.7495,14
234,01945,33.6328,-86.6493,14
235,07421,39.7436,-105.0643,2
236,36088,34.0929,-86.5686,14
237,98198,33.3967,-86.8346,14
238,03885,34.048,-85.9246,14
239,80538,29.6884,-95.0513,6
240,01906,40.7939,-74.0258,17
241,49202,34.1761,-86.8298,14
242,15017,42.5326,-70.9612,9
243,75217,39.9874,-83.0456,15
244,51334,47.2151,-123.1007,1
245,19126,40.8503,-73.9745,17
246,11213,47.5073,-122.1819,1
247,15205,35.799,-80.894,4
248,07065,35.1149,-80.705,4
249,39756,33.8312,-87.2775,14
250,80602,40.8764,-74.0838,17
251,35148,42.3982,-82.9925,10
252,80127,43.8555,-92.4885,7
253,35214,39.8814,-83.0839,15
254,35217,47.3099,-122.2653,1
255,77084,35.3716,-80.53,4
256,19124,40.5515,-74.459,17
257,35180,40.7763,-73.911,17
258,80012,32.7319,-96.9057,5
259,92067,39.5805,-104.9011,2
260,22437,47.4924,-122.2359,1
261,33165,39.8422,-105.1097,2
262,00852,32.9185,-96.6775,5
263,43219,47.6718,-122.1232,1
264,07801,29.5617,-95.2721,6
265,76112,40.7558,-74.2198,17
266,42104,47.5746,-122.3934,1
267,43015,40.3478,-79.8642,12
268,07013,40.0933,-74.8991,18
269,23111,32.7904,-96.8044,5
270,22503,42.3376,-83.1303,10
271,46135,32.7086,-96.7955,5
272,08865,47.5413,-122.3129,1
273,16686,47.8353,-122.327,1
274,35961,47.3203,-122.3117,1
275,19135,37.5421,-77.9189,8
276,28112,47.5444,-122.3735,1
277,11375,39.5197,-105.3169,2
278,80465,37.3476,-121.887,0
279,56007,39.5437,-104.9691,2
280,11221,32.7515,-96.2831,5
281,43054,40.121,-74.3017,-1
282,98022,40.8456,-74.5725,17
283,33181,35.0552,-80.8195,4
284,08904,47.6733,-122.3426,1
285,98118,40.0347,-82.8726,15
286,02155,40.8035,-74.1891,17
287,46221,47.4648,-122.2075,1
288,46224,39.3722,-104.8561,2
289,77081,39.2998,-85.4918,16
290,07052,33.2459,-86.3641,14
291,07055,33.8389,-85.646,14
292,73112,44.03,-91.7009,7
293,94509,40.7627,-73.9149,17
294,77020,47.6302,-122.321,1
295,75206,37.4638,-77.398,8
296,77079,35.5774,-80.8226,4
297,23225,30.0167,-95.447,6
298,28040,33.0198,-96.9925,5
299,19119,40.0999,-83.0157,15
300,15226,32.8794,-96.6411,5
301,29710,39.1264,-83.0049,15
302,43119,40.7107,-74.2131,17
303,77061,42.4313,-82.9813,10
304,46902,37.3333,-77.6343,8
305,35904,40.4109,-74.238,17
306,29575,42.4694,-70.9728,9
307,11205,40.6952,-74.2677,17
308,98273,29.699,-95.5862,6
309,33010,29.6984,-95.5405,6
310,19053,40.5839,-74.4147,17
311,19132,47.7188,-122.1966,1
312,55902,47.6301,-122.2972,1
313,98107,36.9102,-121.7569,0
314,23451,33.5594,-86.8153,14
315,98204,39.679,-104.9631,2
316,45601,40.1093,-83.1146,15
317,80909,40.0535,-83.0187,15
318,28083,33.831,-85.7752,14
319,15217,32.7649,-97.0112,5
320,18966,42.2491,-70.9978,9
321,19090,40.7763,-73.9529,17
322,76021,39.978,-75.1459,18
323,10471,40.1834,-83.0912,15
324,35224,29.844,-95.6623,6
325,28146,39.9223,-75.2338,18
326,15052,33.4977,-86.8799,14
327,80107,29.8159,-95.523,6
328,07438,35.312,-81.5568,4
329,02121,40.8693,-74.1711,17
330,76179,39.9245,-105.0609,2
331,43113,40.5007,-74.5013,17
332,01930,40.7611,-73.8916,17
333,76177,40.4891,-74.4482,17
334,80021,43.7434,-93.7321,7
335,77045,43.6376,-94.451,7
336,19020,40.9343,-74.1166,17
337,08902,33.5283,-86.5748,14
338,02130,35.7346,-81.7042,4
339,39094,40.2067,-75.0905,18
340,75042,39.6123,-104.8799,2
341,36201,33.9152,-87.3074,14
342,10005,33.3813,-86.7046,14
343,47404,42.4889,-70.9647,9
344,35207,48.0881,-123.1198,1
345,19133,32.7272,-96.5669,5
346,48234,40.7339,-74.0054,17
347,07631,47.4511,-122.353,1
348,43202,39.9001,-83.4439,15
349,43214,40.075,-75.1315,18
350,28212,37.3692,-121.8208,0
351,15644,47.7559,-122.3003,1
352,35211,42.3945,-83.2454,10
353,15001,40.398,-74.3236,17
354,75048,37.4011,-77.4615,8
355,98092,34.9681,-81.0489,4
356,32789,32.9522,-96.6654,5
357,98223,32.8023,-96.9597,5
358,98004,42.2836,-71.1295,9
359,47331,37.6247,-77.4351,8
360,03872,39.9015,-104.9407,2
361,80027,40.8183,-73.9426,17
362,08861,42.3763,-70.98,9
363,02026,47.4465,-122.1216,1
364,80221,40.8453,-74.7019,17
